"Nombre del proyecto","Photo","Nombre Marketing","Ciudad","PLZ","Straße","Standortart","Propietario","Contactperson","Telephone","Email","Ratecard (PRECIO TOTAL)","Media","Producción","Forecasted Sales","Gross Profit blowUP","Magic 7","Date of creation ZD-Project","Último cambio","Estado","Probabilidad","Location Completion Chance","Location Approval Chance","Montaje","Demontaje","1er. Responsable BU","Development Note","GEO_Width","GEO_Length"
"Gran Vía 29 2018","","Gran Vía 29 2018","Madrid","28013","Gran Vía 29 ","Andamio","Calpense SA","","915326378","e.granvia@calpense.es","321,296.23 €","285,000.00 €","20,588.23 €","1,293,954.96 €","232,029.96 €","A","13.02.2018","08.02.2019","Contrato firmado","100%","50%","100%","01.09.2019","31.05.2020","Carranza, Laura","","40.419887","-3.702185"
"Gran Vía 3","","Gran Vía 3","Madrid","28003","Gran Vía 3","Andamio","BAECH BIENES INMUEBLES","","638119230","fernando.garcia@wildspitz.es","155,450.00 €","150,000.00 €","3,200.00 €","256,750.00 €","121,185.00 €","A","26.07.2021","29.12.2021","Contrato firmado","100%","50%","50%","17.01.2022","17.07.2022","Carranza, Laura","15.11.2021 Carranza, Laura (Others): el alto son 26-3 de pórtico. Si puedo subir 3 más tendría 26, para ganar espacio para mimética","0.000000","0.000000"
"Gran Via 30 ","","Gran Via 30","Madrid","28013","","Andamio","Balmes 370","","934053976","info@imapinmobiliario.com","239,711.76 €","200,000.00 €","24,411.76 €","931,949.96 €","344,134.96 €","A","19.09.2019","04.11.2019","Perdido ante la competencia","50%","50%","75%","01.03.2020","28.02.2021","Ramon, Silvia","02.10.2019 Ramon, Silvia (Offer): offer sent","40.420505","-3.702497"
"Gran Vía 30 2014","","Gran Vía 30 2014","Madrid","28013","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","28.01.2014","09.01.2015","Negociaciones interrumpidas","50%","50%","100%","01.12.2014","31.05.2015","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Gran Via 304","","Gran via 304 / Plaza España","Barcelona","08004","Gran via de las corts catalanes 304","Andamio","","","","","119,566.11 €","95,000.00 €","13,294.11 €","62,471.99 €","18,229.99 €","C","11.10.2017","05.12.2017","Contrato firmado","100%","50%","100%","01.03.2018","01.05.2018","Ramon, Silvia","","41.372651","2.146266"
"Gran Vía 31","","Gran Vía 31","Madrid","28013","","Andamio","","","","","179,652.00 €","140,000.00 €","25,882.00 €","322,573.20 €","30,953.20 €","B","04.11.2013","09.04.2015","Perdido ante la competencia","50%","50%","100%","01.05.2015","31.07.2015","Arrogante, Juanjo Martinez","","40.420030","-3.703766"
"Gran Vía 33","","Gran Vía 33","Madrid","28013","","Andamio","","","","","152,240.00 €","125,000.00 €","15,000.00 €","172,355.00 €","72,355.00 €","A","30.01.2013","09.05.2018","Negociaciones interrumpidas","50%","25%","25%","01.10.2013","31.12.2013","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Gran Via 335","","Gran Via 335","Barcelona","08014","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","06.07.2009","13.03.2015","Perdido ante la competencia","50%","50%","100%","01.02.2015","30.06.2015","Ramon, Silvia","","0.000000","0.000000"
"Gran Vía 34","","Gran Vía 34","Madrid","28003","Gran Vía 34","Andamio","Pryconsa","","915 140 300 ","MGonzalez@Pryconsa.es","341,750.00 €","300,000.00 €","22,880.00 €","780,708.00 €","147,473.00 €","A","15.01.2019","16.07.2019","Perdido ante la competencia","50%","50%","50%","01.11.2019","30.04.2020","Carranza, Laura","21.06.2019 Carranza, Laura (Dev Note): ben doing some investigations to the permission. I cant find any permission. They were expecting to start in April. They havent and cant see the permission, maybe they are having problems with the permission as we are in the GV sites","0.000000","0.000000"
"Gran Via 35 - Palacio Música","","Gran Via 35 / Palacio de la Música","Madrid","28013","","Andamio","Balmes 370","","934053976","info@imapinmobiliario.com","499,025.00 €","475,000.00 €","15,800.00 €","2,169,300.00 €","779,956.00 €","A","04.02.2020","31.10.2022","Oferta presentada","50%","50%","75%","01.03.2023","31.07.2024","Carranza, Laura","04.03.2020 Ramon, Silvia (Offer): Offer sent","40.420248","-3.704459"
"Gran Vía 36","","Gran Vía 36","Madrid","28003","Gran Vía 36","Andamio","TANJI GESTION SLU","","669981737","fran@madrid4rentals.com","216,426.00 €","200,000.00 €","10,061.00 €","397,084.25 €","68,970.25 €","A","10.07.2019","13.08.2021","Perdido ante la competencia","50%","50%","50%","01.03.2021","28.02.2022","Carranza, Laura","13.10.2020 Carranza, Laura (Dev Note): 17 januay junta, agencia 17 july. REquerimiento 21/10. 500/2020/4250","0.000000","0.000000"
"Gran Vía 36","","Gran Vía 36","Madrid","28013","","Medianera","","","","","82,500.00 €","75,000.00 €","7,500.00 €","156,000.00 €","86,510.00 €","C","07.05.2007","01.08.2007","Contrato firmado","","","","01.11.2008","31.01.2009","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Gran Vía 37","","Gran Vía 37","Madrid","28013","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","05.02.2015","11.09.2015","Negociaciones interrumpidas","50%","50%","50%","01.12.2015","31.01.2016","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Gran Via 38","","Gran Via 38","Madrid","28013","","Andamio","","","","","10,502.00 €","1.00 €","1.00 €","0.00 €","-140,000.00 €","B","25.09.2014","03.10.2014","Perdido ante la competencia","25%","100%","100%","01.11.2014","28.02.2015","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Gran Via 39 / Pl. Callao","","Gran Via 39 / Pl Callao","Madrid","28013","Gran Via 39 / Pl Callao","Andamio","Allianz","Angel Carrasco","915968841","angel.carrasco@allianz.es","447,108.23 €","380,000.00 €","40,588.23 €","1,221,119.97 €","317,115.95 €","A","27.03.2019","24.10.2019","Contrato firmado","100%","100%","75%","01.03.2020","30.09.2020","Ramon, Silvia","07.05.2020 Carranza, Laura (Dev Note): 500/2020/546 220/2020/3088","40420240.000000","-3.705376"
"Gran Vía 39/edificio allianz","","Gran Vía 39/Pza. Callao. Edificio Allianz","Madrid","28001","","Andamio","Allianz","","915968841","angel.carrasco@allianz.es","272,000.00 €","250,000.00 €","22,000.00 €","855,400.00 €","56,050.00 €","A","13.02.2008","18.06.2008","Perdido ante la competencia","50%","","","01.09.2008","28.02.2009","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Gran Vía 40","","Gran Vía 40/Plaza Callao","Madrid","28023","","Andamio","","","","","122,000.00 €","110,000.00 €","12,000.00 €","230,100.00 €","109,510.00 €","B","29.05.2008","08.07.2009","Contrato firmado","100%","","","01.09.2009","30.06.2010","Arrogante, Juanjo Martinez","","40.420225","-3.704973"
"Gran Vía 40 2014","","Gran Vía 40/Plaza de Callao","Madrid","28013","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","07.01.2014","09.05.2018","Negociaciones interrumpidas","75%","50%","50%","01.03.2016","31.07.2016","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Gran Via 412 / Pl. Espanya","","Gran Via 412 / Pl. España","Barcelona","08015","Gran Via Corts Catalanes 412","Andamio","Balmes 370","","934053976","info@imapinmobiliario.com","1,000.00 €","0.00 €","1,000.00 €","0.00 €","0.00 €","B","30.06.2021","14.02.2023","Oferta presentada","50%","50%","50%","01.10.2023","31.03.2024","Canela, Miguel","","41.377190","2.153160"
"Gran Vía 42","","Gran Vía 42/Plaza Callao","Madrid","28013","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","09.04.2015","15.11.2017","Perdido ante la competencia","75%","50%","50%","01.04.2016","31.12.2016","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"GRan Vía 43","","GRan Vía 43","Madrid","28000","GRan Vía 43","Andamio","","","","","275,307.00 €","250,000.00 €","15,100.00 €","1,119,684.00 €","350,624.00 €","A","13.12.2021","20.05.2022","Emplazamiento introducido","50%","50%","50%","15.02.2022","15.07.2023","Carranza, Laura","","0.000000","0.000000"
"Gran Vía 43 - hotel rex","","Gran Vía 43 - hotel rex","Madrid","28013","","Andamio","","","","","10,000.00 €","0.00 €","0.00 €","0.00 €","-1,100.00 €","B","09.03.2010","08.03.2012","Perdido ante la competencia","50%","","","01.10.2011","31.03.2012","Arrogante, Juanjo Martinez","","40.420913","-3.707066"
"Gran Vía 44","","Gran Vía 44/Plaza de Callao","Madrid","28013","","Andamio","","","","","8,002.00 €","1.00 €","1.00 €","1.68 €","-17,258.32 €","A","19.02.2014","22.07.2015","Perdido ante la competencia","50%","75%","75%","01.03.2016","30.06.2016","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Gran Via 448","","Gran via 448","Barcelona","08015","","Andamio","EUROLLAR","Antonio Rodríguez","93-3232777","toni@eurollarcondal.com","137,036.70 €","115,000.00 €","10,764.70 €","118,468.99 €","35,974.99 €","C","04.10.2018","21.07.2020","Negociaciones interrumpidas","50%","50%","75%","01.12.2020","31.05.2021","Ramon, Silvia","05.12.2019 Ramon, Silvia (Phonecall): Works postponed for the end of next year","41.378673","2.154473"
"Gran Via 448","","Gran Via 448","Barcelona","08015","Gran Via Corts Catalanes 448","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","13.02.2023","14.02.2023","Emplazamiento introducido","50%","50%","50%","01.09.2023","31.03.2024","Canela, Miguel","","41.000000","2.000000"
"Gran Vía 45","","Gran Vía 45","Madrid","","Gran Vía 45","Andamio","","","","","92,500.00 €","75,000.00 €","17,500.00 €","217,750.00 €","56,620.00 €","","22.03.2006","18.10.2006","Perdido ante la competencia","","","","01.10.2006","28.02.2007","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Gran Vía 45","","Gran Vía 45","Madrid","28013","","Andamio","","","","","164,044.12 €","140,000.00 €","15,294.12 €","381,000.01 €","120,472.01 €","B","05.11.2013","07.09.2015","Perdido ante la competencia","50%","50%","75%","01.11.2015","30.04.2016","Arrogante, Juanjo Martinez","","40.420847","-3.707172"
"Gran Vía 45 2018","","Gran Vía 45 2018","Madrid","28013","Gran Vía 43","Medianera","Aguirre Newman","","913 191 314","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","26.03.2018","04.06.2018","Perdido ante la competencia","50%","50%","75%","01.09.2018","31.05.2019","Carranza, Laura","","0.000000","0.000000"
"Gran Via 46","","Palacio de la Prensa","Madrid","28001","","Andamio","","","","","382,673.65 €","300,000.00 €","44,117.65 €","1,998,060.03 €","433,060.03 €","A","18.04.2017","11.01.2018","Contrato firmado","100%","50%","100%","01.12.2019","30.11.2020","Carranza, Laura","08.04.2019 Carranza, Laura (Dev Note): The rumors in the market,, that VSa has closed the site are still there. We know that this is something coming from the Property manager, but as the same time we know, from Landlord via lourdes and other way, that the contract is not signed.","40.420581","-3.705942"
"Gran Via 46","","Gran Via 46","Madrid","08001","","Andamio","","","","","283,752.76 €","250,000.00 €","19,411.76 €","1,545,909.96 €","1,335,820.96 €","A","18.04.2017","11.01.2018","Contrato firmado","100%","50%","100%","01.01.2018","31.12.2018","Carranza, Laura","08.04.2019 Carranza, Laura (Dev Note): The rumors in the market,, that VSa has closed the site are still there. We know that this is something coming from the Property manager, but as the same time we know, from Landlord via lourdes and other way, that the contract is not signed.","0.000000","0.000000"
"Gran Vía 46 Palacio de la Prensa","","Gran Vía 46 Palacio de la Prensa","Madrid","28001","Gran Vía 46 Palacio de la Prensa","Andamio","","","","","685,991.00 €","600,000.00 €","47,435.00 €","3,121,222.50 €","1,080,580.50 €","A","10.04.2019","24.05.2019","Perdido ante la competencia","50%","50%","50%","01.12.2019","30.11.2020","Carranza, Laura","03.05.2019 Carranza, Laura (Dev Note): seems to be signed with VSA. WE have offer, with our last offer , VSA to rise the price to 1,5Mio. This was the landlord bussiness and we could not do anything although we have been there the whole process.","0.000000","0.000000"
"Gran Vía 47","","Gran Vía 47","Madrid","28012","","Andamio","","","","","123,823.52 €","115,000.00 €","8,823.52 €","235,720.58 €","41,810.58 €","B","23.01.2009","03.02.2010","Contrato firmado","100%","","","01.10.2015","31.03.2016","Arrogante, Juanjo Martinez","","40.421050","-3.707466"
"Gran Vía 47 2017","","Gran Vía 47","Madrid","28013","","Andamio","","","","","191,591.76 €","175,000.00 €","9,411.76 €","563,579.98 €","505,176.38 €","C","22.05.2015","05.05.2017","Perdido ante la competencia","50%","100%","100%","01.05.2017","31.10.2017","Carranza, Laura","","0.000000","0.000000"
"Gran Vía 48","","Gran Vía 48","Madrid","28003","Gran Vía 48","Andamio","","","","","218,827.00 €","195,000.00 €","13,500.00 €","384,335.00 €","84,395.00 €","A","20.05.2020","20.05.2020","Emplazamiento introducido","50%","50%","50%","01.10.2020","31.03.2021","Carranza, Laura","","0.000000","0.000000"
"Gran Vía 49","","Gran Vía 49","Madrid","28013","Gran Vía 49","Andamio","","","","","177,700.00 €","160,000.00 €","11,000.00 €","240,288.00 €","68,311.60 €","B","11.10.2017","19.02.2019","Perdido ante la competencia","50%","50%","75%","01.04.2019","31.10.2019","Carranza, Laura","16.10.2017 Carranza, Laura (Others): hablo con administrador. Va a proponer oferta al presidente y nos dirá","0.000000","0.000000"
"Gran Via 490","","Gran Via 490","Barcelona","08015","","Andamio","REHAMAR","Alex Matarrodona","645744884","alexmatarrodona@gmail.com","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","16.01.2019","21.01.2019","Negociaciones interrumpidas","50%","75%","100%","15.01.2019","30.04.2019","Ramon, Silvia","","41.380368","2.156744"
"Gran Vía 50 2011","","Gran Vía 50/Callao","Madrid","28013","","Andamio","","","","","119,377.65 €","95,000.00 €","14,177.65 €","219,460.95 €","168,258.95 €","A","27.06.2011","01.07.2011","Contrato firmado","100%","","","01.02.2012","31.12.2012","Arrogante, Juanjo Martinez","","40.420946","-3.706732"
"Gran Vía 50/Callao","","Gran Vía 50/Callao","Madrid","28013","","Medianera","","","","","92,500.00 €","80,000.00 €","12,500.00 €","172,250.00 €","158,600.00 €","","19.01.2006","25.01.2007","Contrato firmado","","","","01.10.2006","30.04.2007","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Gran Vía 52","","Gran Vía 52","Madrid","28013","","Andamio","","","","","128,322.94 €","110,000.00 €","12,352.94 €","296,880.00 €","251,630.00 €","B","24.10.2014","22.01.2015","Perdido ante la competencia","50%","50%","50%","01.03.2015","31.07.2015","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Gran Vía 54","","Gran Vía 54","Madrid","28013","","Andamio","","","","","219,461.82 €","175,000.00 €","27,058.82 €","608,889.99 €","217,817.24 €","B","19.09.2014","12.09.2016","Perdido ante la competencia","50%","50%","50%","01.03.2016","31.08.2016","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Gran Via 544","","Gran Via 544 / Villaroel","Barcelona","08008","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","02.08.2012","27.06.2014","Negociaciones interrumpidas","50%","25%","100%","01.10.2012","31.03.2013","Ramon, Silvia","","0.000000","0.000000"
"Gran Via 544","","Gran Via 544 / Villarroel","Barcelona","08008","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","02.10.2012","01.12.2017","Negociaciones interrumpidas","50%","50%","100%","18.12.2017","31.05.2018","Ramon, Silvia","","0.000000","0.000000"
"Gran Via 55","","Gran Via 55","Madrid","28001","","Andamio","","","","","126,347.76 €","110,000.00 €","9,411.76 €","205,682.99 €","176,126.99 €","C","23.11.2016","22.12.2017","Perdido ante la competencia","50%","50%","100%","01.01.2017","30.04.2017","Carranza, Laura","","0.000000","0.000000"
"Gran Vía 56","","Gran Vía 56","Madrid","28013","","Andamio","","","","","139,826.18 €","120,000.00 €","12,941.18 €","242,655.01 €","203,870.01 €","B","09.01.2015","23.01.2015","Contrato firmado","100%","100%","100%","01.05.2015","31.08.2015","Arrogante, Juanjo Martinez","","40.421556","-3.707618"
"Gran Vía 57","","Gran Vía 57","Madrid","28013","","Medianera","","","","","23,100.00 €","0.00 €","23,100.00 €","0.00 €","-1,300.00 €","","06.09.2006","25.01.2007","Contrato firmado","","","","15.10.2005","30.06.2007","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Gran Vía 57","","Gran Vía 57","Madrid","28013","","Medianera","","","","","23,100.00 €","0.00 €","23,100.00 €","0.00 €","-1,300.00 €","","20.09.2006","25.01.2007","Contrato firmado","","","","15.10.2005","30.06.2007","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Gran Vía 57 - 2015","","Gran Vía 57","Madrid","28013","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","-150,000.00 €","B","25.09.2015","09.05.2018","Negociaciones interrumpidas","50%","50%","50%","01.09.2016","28.02.2017","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Gran vía 59",""," Gran Vía 59- 1418","Madrid","28013","Gran Vía 59","Andamio","The Corner Group","","9129000302","isabellaparis@thecornergroup.es","362,449.41 €","300,000.00 €","33,529.41 €","952,019.99 €","317,164.49 €","A","20.09.2017","27.01.2020","Oferta presentada","75%","75%","75%","01.05.2020","30.11.2020","Carranza, Laura","08.09.2020 Carranza, Laura (Dev Note): 101/2020/2442 13/05/2020 Posible rEquerimiento sept 2020","0.000000","0.000000"
"Gran Vía 6","","Gran Vía 6","Madrid","28003","Gran Vía 6","Medianera","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","A","18.03.2019","13.08.2021","Negociaciones interrumpidas","50%","50%","50%","01.12.2019","31.07.2020","Carranza, Laura","","0.000000","0.000000"
"Gran Vía 6","","Gran Vía 6","Madrid","28013","","Andamio","","","","","196,470.60 €","176,470.60 €","20,000.00 €","484,823.56 €","200,353.56 €","C","09.01.2006","04.04.2008","Contrato firmado","100%","","","01.10.2008","30.06.2009","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Gran Vía 6 2019","","Gran Vía 6 2019","Madrid","28013","Gran Vía 6 2019","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","07.02.2019","07.02.2019","Emplazamiento introducido","50%","50%","50%","01.02.2020","31.12.2020","Carranza, Laura","07.02.2019 Carranza, Laura (Others): Firmamos con Rember. Comprobar Robles","0.000000","0.000000"
"Gran vía 60","","Gran Vía 60","Madrid","28003","Gran Vía 60","Andamio","","","","","117,412.11 €","90,000.00 €","15,294.11 €","200,671.98 €","11,275.98 €","B","17.10.2017","28.07.2021","Emplazamiento introducido","50%","50%","100%","01.03.2022","31.10.2022","Ramon, Silvia","13.10.2020 Carranza, Laura (Dev Note): supposed to be for around January. I keep insisting through other ways.","403519.280000","34229.650000"
"Gran vía 60",""," Gran Vía 60 6 months","Madrid","28003","Gran Vía 60","Andamio","","","","","187,412.11 €","160,000.00 €","15,294.11 €","213,503.98 €","89,935.98 €","B","17.10.2017","28.07.2021","Emplazamiento introducido","50%","50%","100%","01.11.2021","30.04.2022","Ramon, Silvia","13.10.2020 Carranza, Laura (Dev Note): supposed to be for around January. I keep insisting through other ways.","403519.280000","34229.650000"
"Gran Via 604 / Balmes","","Gran Via 604 / Balmes","Barcelona","08001","","Andamio","AKM","Mº José Cabanes","93-3687203","mcabanes@akm-gestion.com","313,330.82 €","275,000.00 €","27,058.82 €","1,580,219.97 €","573,984.97 €","B","11.05.2016","05.05.2017","Perdido ante la competencia","50%","50%","100%","01.06.2017","30.04.2018","Carranza, Laura","","0.000000","0.000000"
"Gran Via 605 - Hotel Avenida Palace","","Gran via 605","Barcelona","08008","","Andamio","Balmes 370",".","934053976","info@imapinmobiliario.com","110,000.00 €","95,000.00 €","15,000.00 €","194,625.00 €","78,470.00 €","B","18.06.2010","07.05.2018","Perdido ante la competencia","75%","75%","100%","01.10.2014","31.01.2015","Ramon, Silvia","","41.388922","2.161057"
"Gran Via 606 / Balmes 18","","Gran Via 606 / Balmes 18","Barcelona","08007","","Andamio","ELIX","Diana Salarich","93-2173801","diana.salarich@elix.es","382,801.41 €","350,000.00 €","21,529.41 €","1,400,147.99 €","132,044.99 €","A","15.05.2018","14.01.2019","Perdido ante la competencia","75%","75%","75%","01.09.2019","31.05.2020","Ramon, Silvia","","41.524557","1.816980"
"Gran Vía 61","","Gran Vía 61","Madrid","28001","","Andamio","","","","","207,240.00 €","175,000.00 €","20,000.00 €","343,657.50 €","124,087.50 €","B","13.07.2012","11.02.2016","Contrato firmado","100%","50%","50%","01.11.2016","31.03.2017","Carranza, Laura","","40.421333","-3.707213"
"Gran Via 613","","Gran Via 613","Barcelona","","Gran Via 613","Andamio","","","","","82,000.00 €","68,000.00 €","14,000.00 €","53,300.00 €","45,770.00 €","","24.01.2006","26.07.2006","Negociaciones interrumpidas","","","","01.10.2006","28.02.2007","Morata, Rosi","","0.000000","0.000000"
"Gran Via 619 - 621","","Gran Via / Pº Gracia","Barcelona","08008","","Andamio","","","","","110,602.24 €","95,000.00 €","8,588.24 €","61,914.74 €","29,915.74 €","C","13.09.2016","09.02.2017","Negociaciones interrumpidas","75%","75%","100%","01.11.2016","28.02.2017","Ramon, Silvia","","0.000000","0.000000"
"Gran Vía 62","","Gran Vía 62","Madrid","28003","Gran Vía 62","Medianera","PAVASAL SA","","630457831","","142,941.00 €","120,000.00 €","12,941.00 €","374,999.25 €","156,494.25 €","A","10.03.2017","06.02.2020","Oferta presentada","50%","50%","75%","01.07.2020","31.12.2020","Carranza, Laura","13.10.2020 Carranza, Laura (Dev Note): Still with doubts. I will keep going every month, as usual","0.000000","0.000000"
"Gran Vía 62","","Gran Vía 62","Madrid","28003","Gran Vía 62","Medianera","PAVASAL SA","","630457831","","143,141.00 €","120,000.00 €","12,941.00 €","308,499.25 €","89,994.25 €","A","10.03.2017","06.02.2020","Oferta presentada","50%","50%","75%","01.03.2020","31.08.2020","Carranza, Laura","13.10.2020 Carranza, Laura (Dev Note): Still with doubts. I will keep going every month, as usual","0.000000","0.000000"
"Gran Vía 62","","Copy of Gran Vía 62 2019","Madrid","28003","Gran Vía 62","Medianera","PAVASAL SA","","630457831","","143,141.00 €","120,000.00 €","12,941.00 €","308,499.25 €","90,714.25 €","A","10.03.2017","06.02.2020","Oferta presentada","50%","50%","75%","01.03.2020","31.08.2020","Carranza, Laura","13.10.2020 Carranza, Laura (Dev Note): Still with doubts. I will keep going every month, as usual","0.000000","0.000000"
"Gran Vía 63","","Gran Vía 63","Madrid","28013","","Andamio","","","","","115,590.00 €","105,000.00 €","4,000.00 €","149,580.00 €","40,922.00 €","B","25.07.2014","08.12.2017","Contrato firmado","100%","100%","100%","01.04.2018","31.12.2018","Sánchez Lema, Roberto","","40.422492","-3.709809"
"Gran Vía 63","","Gran Vía 63","Madrid","28013","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","22.10.2008","01.07.2011","Negociaciones interrumpidas","50%","","","01.10.2009","31.12.2009","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Gran Vía 64","","Gran Vía 64","Madrid","28003","Gran Vía 64","Dummy site","Inmobiliaria Hispana SA","","914313842","","149,137.41 €","125,000.00 €","13,529.41 €","321,477.49 €","246,942.49 €","A","15.10.2018","08.05.2019","Perdido ante la competencia","50%","50%","50%","01.06.2019","31.12.2019","Carranza, Laura","10.05.2019 Carranza, Laura (Dev Note): DEFI has closed the site.  I ask the landlord for explanation, why he has not count on us. The offer from DEFI and other competitors was subtantially higher than ours. We were late on the pitch, this was managed by Roberto and I dont know exactly what he did before I took it over, but he, the landlord, gave me the opportunity to present our offer but it was far away from the others and we were automatically discarded.","0.000000","0.000000"
"Gran Via 644","","Gran Via 644","Barcelona","08007","","Andamio","HOTELES CATALONIA","Federico Holzmann","93 236 00 00","federico.holzmann@hoteles-catalonia.es","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","04.05.2012","08.04.2013","Negociaciones interrumpidas","75%","","","01.10.2012","31.05.2013","Ramon, Silvia","","0.000000","0.000000"
"Gran vía 65","","Gran vía 65","Madrid","28013","Gran vía 65","Andamio","","","","","206,552.00 €","175,000.00 €","18,700.00 €","237,456.00 €","77,685.00 €","A","07.02.2019","11.05.2023","Emplazamiento introducido","50%","50%","50%","01.04.2023","31.07.2023","Aumente, Alfonso","15.07.2019 Ramon, Silvia (Dev Note): The building belongs to an hotel. They have given me an email where I can send our infos. By the moment, no intention of works","0.000000","0.000000"
"Gran Via 657 - Girona","","Gran Via 657 / Mallorca","Barcelona","08001","","Andamio","Balmes 370","","934053976","info@imapinmobiliario.com","1,000.00 €","0.00 €","1,000.00 €","0.00 €","-80,000.00 €","B","04.03.2021","21.04.2022","Oferta presentada","50%","50%","75%","01.12.2021","31.05.2022","Canela, Miguel","","0.000000","0.000000"
"Gran Vía 66","","Gran Vía 66","Madrid","28013","","Andamio","","","","","150,382.35 €","110,000.00 €","25,882.35 €","257,999.99 €","61,779.99 €","B","13.10.2014","10.07.2019","Emplazamiento introducido","50%","50%","50%","01.09.2020","28.02.2021","Ramon, Silvia","09.07.2019 Ramon, Silvia (Dev Note): This site is a proactive approach as there's any forecast to do works in the façade. I contact this sites twice a year, next contact forecasted for september","0.000000","0.000000"
"Gran Via 68","","Gran Vía 68","Madrid","28013","","Andamio","","","","","159,165.88 €","120,000.00 €","24,705.88 €","375,839.99 €","281,269.99 €","B","09.10.2014","02.02.2015","Contrato firmado","100%","75%","100%","01.08.2016","30.04.2017","Arrogante, Juanjo Martinez","","40.422619","-3.709214"
"Gran Vía 68","","Gran Vía 68","Madrid","28013","Gran Vía 68","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","A","07.02.2019","13.06.2019","Emplazamiento introducido","50%","50%","50%","01.02.2022","31.12.2022","Ramon, Silvia","09.04.2019 Ramon, Silvia (Dev Note): It can be sone not earlier than 2022","0.000000","0.000000"
"Gran Via 68 - 2016","","Gran Via 68 - 2016","Madrid","28001","Gran Via 68 - 2016","Andamio","","","","","210,534.71 €","175,000.00 €","21,764.71 €","399,087.51 €","155,217.51 €","B","06.04.2016","14.04.2016","Contrato firmado","100%","50%","100%","18.05.2016","15.05.2017","Carranza, Laura","","40.423818","-3.705793"
"Gran via 688","","Gran via 688 / Plaza Tetúan","Barcelona","08001","","Andamio","","","","","132,448.47 €","100,000.00 €","21,176.47 €","141,044.00 €","52,045.00 €","C","15.02.2013","11.03.2016","Contrato firmado","100%","50%","100%","01.04.2016","30.09.2016","Ramon, Silvia","","0.000000","0.000000"
"Gran Vía 69","","Gran Vía 69","Madrid","2013","Gran Vía 69","Medianera","","","","","174,711.76 €","140,000.00 €","19,411.76 €","758,399.97 €","594,569.97 €","A","26.03.2018","03.12.2019","Perdido ante la competencia","50%","50%","50%","01.10.2020","30.09.2021","Carranza, Laura","03.12.2019 Carranza, Laura (Dev Note): Site mounted. No pitch at all. Confirmed with  the competitors. Probably personal contact of Soportes","0.000000","0.000000"
"Gran Vía 70","","Gran Vía 70","Madrid","28013","Gran Vía 70","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","07.02.2019","10.07.2019","Emplazamiento introducido","50%","50%","50%","01.01.2020","30.06.2020","Ramon, Silvia","09.07.2019 Ramon, Silvia (Dev Note): This site is a proactive approach as there's any forecast to do works in the façade. I contact this sites twice a year, next contact forecasted for september","0.000000","0.000000"
"Gran Vía 71","","Gran Vía 71","Madrid","28013","Gran Vía 71","Andamio","BYRSA. Jose Carlos Ballester","","914475247","jcballester@byrsa.com","198,346.17 €","175,000.00 €","12,941.17 €","190,214.98 €","24,750.98 €","A","07.02.2019","30.11.2022","Perdido ante la competencia","50%","50%","50%","01.04.2020","31.07.2020","Carranza, Laura","19.07.2019 Carranza, Laura (Dev Note): we need to wait here, but I am in contact with the property manager","0.000000","0.000000"
